epoch,accuracy,loss,val_accuracy,val_loss
0,0.1666666716337204,2.149909496307373,0.0,2.069883346557617
1,0.3333333432674408,1.4375519752502441,0.0,2.08040714263916
2,0.1666666716337204,1.716104507446289,0.0,2.078850746154785
3,0.5,1.4756083488464355,0.0,2.148467540740967
4,0.1666666716337204,1.3679766654968262,0.0,2.184814214706421
5,0.1666666716337204,1.4601761102676392,0.0,2.292588710784912
6,0.6666666865348816,1.0792036056518555,0.0,2.2199878692626953
7,0.8333333134651184,1.1282167434692383,0.0,2.2114367485046387
8,0.5,1.3586782217025757,0.0,2.2015700340270996
9,0.8333333134651184,0.7825527787208557,0.0,2.2033581733703613
10,0.8333333134651184,0.6840855479240417,0.0,2.1930480003356934
11,0.6666666865348816,0.8633163571357727,0.0,2.1778111457824707
12,0.6666666865348816,0.7776854634284973,0.0,2.1788063049316406
13,0.8333333134651184,0.7720238566398621,0.0,2.1739084720611572
14,0.8333333134651184,0.7239099144935608,0.0,2.1764638423919678
15,1.0,0.6304759383201599,0.0,2.1849186420440674
16,1.0,0.7244026064872742,0.0,2.1849889755249023
17,1.0,0.8142772316932678,0.0,2.200470447540283
18,1.0,0.6733428835868835,0.0,2.2012500762939453
19,0.8333333134651184,0.6486746668815613,0.0,2.1864683628082275
20,1.0,0.611949622631073,0.0,2.174069404602051
21,1.0,0.6003690361976624,0.0,2.16550874710083
22,1.0,0.6485987901687622,0.0,2.176912307739258
23,0.8333333134651184,0.6256282329559326,0.0,2.165078639984131
24,1.0,0.7542911171913147,0.0,2.1834170818328857
25,1.0,0.632068932056427,0.0,2.1777825355529785
26,1.0,0.6646732687950134,0.0,2.177506923675537
27,1.0,0.6406756043434143,0.0,2.1776516437530518
28,1.0,0.5970997214317322,0.0,2.17826771736145
29,1.0,0.6073950529098511,0.0,2.178961753845215
30,1.0,0.6173023581504822,0.0,2.1788742542266846
31,1.0,0.5669190287590027,0.0,2.178858757019043
32,1.0,0.6437843441963196,0.0,2.1875696182250977
33,1.0,0.6066890358924866,0.0,2.1950860023498535
34,1.0,0.5977111458778381,0.0,2.194807291030884
35,1.0,0.5741563439369202,0.0,2.2072243690490723
36,1.0,0.6477764844894409,0.0,2.214278221130371
37,1.0,0.6354984641075134,0.0,2.214111804962158
38,1.0,0.5913025736808777,0.0,2.207702159881592
39,1.0,0.5414543151855469,0.0,2.2138009071350098
40,1.0,0.594902515411377,0.0,2.20644211769104
41,1.0,0.5996386408805847,0.0,2.20487642288208
42,1.0,0.6191180944442749,0.0,2.204702377319336
43,1.0,0.5277540683746338,0.0,2.2097225189208984
44,1.0,0.5120617747306824,0.0,2.2102341651916504
45,1.0,0.4991736114025116,0.0,2.2081432342529297
46,1.0,0.5849103927612305,0.0,2.216794967651367
47,1.0,0.5724026560783386,0.0,2.2153072357177734
48,1.0,0.6073951721191406,0.0,2.2180352210998535
49,1.0,0.5423875451087952,0.0,2.220954418182373
