epoch,accuracy,loss,val_accuracy,val_loss
0,0.10233332961797714,2.98583722114563,0.18700000643730164,2.7380614280700684
1,0.1783333271741867,2.6886181831359863,0.20749999582767487,2.5852160453796387
2,0.21150000393390656,2.5680510997772217,0.23649999499320984,2.495309829711914
3,0.2358333319425583,2.4740660190582275,0.25049999356269836,2.4272279739379883
4,0.2524999976158142,2.4153048992156982,0.27000001072883606,2.354562997817993
5,0.257666677236557,2.3692009449005127,0.27799999713897705,2.33241868019104
6,0.2798333466053009,2.3245251178741455,0.2854999899864197,2.3082165718078613
7,0.28999999165534973,2.275446891784668,0.2955000102519989,2.290761709213257
8,0.30266666412353516,2.247269630432129,0.29899999499320984,2.2541565895080566
9,0.3173333406448364,2.205573081970215,0.31049999594688416,2.2272133827209473
10,0.32600000500679016,2.1668283939361572,0.3305000066757202,2.2036054134368896
11,0.33533334732055664,2.1393930912017822,0.3215000033378601,2.1982781887054443
12,0.3528333306312561,2.1100809574127197,0.33000001311302185,2.1736154556274414
13,0.35633334517478943,2.0722358226776123,0.3334999978542328,2.176694631576538
14,0.36533331871032715,2.04410719871521,0.33799999952316284,2.143223285675049
15,0.37066665291786194,2.0057365894317627,0.3375000059604645,2.134021520614624
16,0.3946666717529297,1.970399260520935,0.3490000069141388,2.130502462387085
17,0.3958333432674408,1.9500374794006348,0.3425000011920929,2.127981662750244
18,0.4009999930858612,1.9266736507415771,0.34299999475479126,2.116203784942627
19,0.4156666696071625,1.8894308805465698,0.35499998927116394,2.0965051651000977
20,0.429833322763443,1.844575047492981,0.351500004529953,2.1039347648620605
21,0.43316665291786194,1.8338439464569092,0.35350000858306885,2.104311227798462
22,0.445333331823349,1.8002920150756836,0.35850000381469727,2.0873095989227295
23,0.45383334159851074,1.7783974409103394,0.3644999861717224,2.085435390472412
24,0.4571666717529297,1.7456004619598389,0.35199999809265137,2.1017086505889893
25,0.46650001406669617,1.726267695426941,0.37049999833106995,2.083387613296509
26,0.48133334517478943,1.6903413534164429,0.3540000021457672,2.0928995609283447
27,0.48899999260902405,1.6616290807724,0.3634999990463257,2.100973606109619
28,0.4883333444595337,1.6462857723236084,0.3630000054836273,2.0753488540649414
29,0.5061666369438171,1.6001038551330566,0.36899998784065247,2.0710530281066895
30,0.5116666555404663,1.5702306032180786,0.36500000953674316,2.088469982147217
31,0.5181666612625122,1.5496764183044434,0.37400001287460327,2.0845072269439697
32,0.5440000295639038,1.5166001319885254,0.3734999895095825,2.0807530879974365
33,0.5363333225250244,1.4950348138809204,0.3644999861717224,2.0707359313964844
34,0.5381666421890259,1.4889848232269287,0.37400001287460327,2.0749716758728027
35,0.562833309173584,1.437510371208191,0.3619999885559082,2.1019904613494873
36,0.5583333373069763,1.4435184001922607,0.3630000054836273,2.122718095779419
37,0.5691666603088379,1.411252737045288,0.3659999966621399,2.0911786556243896
38,0.5824999809265137,1.3628559112548828,0.3779999911785126,2.088754892349243
39,0.5848333239555359,1.3503069877624512,0.375,2.109485626220703
40,0.5916666388511658,1.334132432937622,0.37400001287460327,2.0834474563598633
41,0.5986666679382324,1.3045802116394043,0.38199999928474426,2.096991777420044
42,0.609666645526886,1.2734068632125854,0.37049999833106995,2.1028707027435303
43,0.6073333621025085,1.2728517055511475,0.3840000033378601,2.119661569595337
44,0.6206666827201843,1.2435702085494995,0.37450000643730164,2.1000664234161377
45,0.6184999942779541,1.2354016304016113,0.3695000112056732,2.139103412628174
46,0.6343333125114441,1.2008795738220215,0.3714999854564667,2.1330134868621826
47,0.6485000252723694,1.1632674932479858,0.367000013589859,2.1150262355804443
48,0.6443333625793457,1.148851752281189,0.37400001287460327,2.121839761734009
49,0.6510000228881836,1.1403322219848633,0.3765000104904175,2.1467995643615723
